中央电视,#genre#,
CCTV 4,http://primestreams.tv:826/live/TammyMccready/eGj6lFxVyG/119452.ts,0.05s
cctv4k,http://107.150.52.50:82/live/cctv4k.m3u8,0.07s
CCTV8K,http://107.150.52.50:82/live/cctv8k.m3u8,0.07s
CCTV5体育,http://74.91.26.218:82/live/cctv5hd.m3u8,0.07s
CCTV5+体育赛事,http://74.91.26.218:82/live/cctv5p.m3u8,0.07s
CCTV16奥利匹克,http://74.91.26.218:82/live/cctv16hd.m3u8,0.07s
CCTV5 體育,http://69.30.245.50/live/cctv5.m3u8,0.07s
CCTV5,http://74.91.26.218:82/live/cctv5hd.m3u8,0.07s
CCTV5+,http://74.91.26.218:82/live/cctv5p.m3u8,0.07s
CCTV16,http://74.91.26.218:82/live/cctv16hd.m3u8,0.07s
CCTV1港澳版,https://cdn6.cc.cd/163189/cctv1,0.08s
CCTV1综合,http://74.91.26.218:82/live/cctv1hd.m3u8,0.13s
CCTV3综艺,http://74.91.26.218:82/live/cctv3hd.m3u8,0.13s
CCTV4中文国际,http://74.91.26.218:82/live/cctv4hd.m3u8,0.13s
CCTV6电影,http://74.91.26.218:82/live/cctv6hd.m3u8,0.13s
CCTV7国防军事,http://74.91.26.218:82/live/cctv7hd.m3u8,0.13s
CCTV9纪录,http://74.91.26.218:82/live/cctv9hd.m3u8,0.13s
CCTV12社会与法,http://74.91.26.218:82/live/cctv12hd.m3u8,0.13s
CCTV13新闻,http://74.91.26.218:82/live/cctv13hd.m3u8,0.13s
CCTV14少儿,http://74.91.26.218:82/live/cctv14hd.m3u8,0.13s
CCTV15音乐,http://74.91.26.218:82/live/cctv15hd.m3u8,0.13s
CCTV17农业农村,http://74.91.26.218:82/live/cctv17hd.m3u8,0.13s
CCTV1,http://107.150.60.122/live/cctv1hd.m3u8,0.13s
CCTV2,http://107.150.60.122/live/cctv2hd.m3u8,0.13s
CCTV4,http://107.150.60.122/live/cctv4hd.m3u8,0.13s
CCTV5,http://107.150.60.122/live/cctv5hd.m3u8,0.13s
CCTV5+,http://107.150.60.122/live/cctv5p.m3u8,0.13s
CCTV6,http://107.150.60.122/live/cctv6hd.m3u8,0.13s
CCTV7,http://107.150.60.122/live/cctv7hd.m3u8,0.13s
CCTV8,http://107.150.60.122/live/cctv8hd.m3u8,0.13s
CCTV9,http://107.150.60.122/live/cctv9hd.m3u8,0.13s
CCTV11,http://107.150.60.122/live/cctv11hd.m3u8,0.13s
CCTV12,http://107.150.60.122/live/cctv12hd.m3u8,0.13s
CCTV13,http://107.150.60.122/live/cctv13hd.m3u8,0.13s
CCTV14,http://107.150.60.122/live/cctv14hd.m3u8,0.13s
CCTV16,http://107.150.60.122/live/cctv16hd.m3u8,0.13s
CCTV17,http://107.150.60.122/live/cctv17hd.m3u8,0.13s
CCTV-4K超高清,http://107.150.60.122/live/cctv4k.m3u8,0.13s
CCTV-8K超高清,http://107.150.60.122/live/cctv8k.m3u8,0.13s
CCTV-卫生健康,http://107.150.60.122/live/wsjk.m3u8,0.13s
CCTV4 中文國際,http://69.30.245.50/live/cctv4.m3u8,0.13s
CCTV7 國防軍事,http://69.30.245.50/live/cctv7.m3u8,0.13s
CCTV8 電視劇,http://69.30.245.50/live/cctv8.m3u8,0.13s
CCTV-5体育,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv5hd,0.13s
CCTV-5+体育赛事,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv5p,0.13s
CCTV-16奥林匹克,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv16hd,0.13s
CCTV-3综艺,http://173.208.212.130:8181/1080p/cctv3.m3u8,0.13s
CCTV-8电视剧,http://173.208.212.130:8181/1080p/cctv8.m3u8,0.13s
CCTV-10科教,http://173.208.212.130:8181/1080p/cctv10.m3u8,0.13s
CCTV-12社会与法,http://173.208.212.130:8181/1080p/cctv12.m3u8,0.13s
CCTV-16奥林匹克,http://173.208.212.130:8181/1080p/cctv16.m3u8,0.13s
CCTV-15音乐,http://173.208.212.130:8181/1080p/cctv15.m3u8,0.13s
CCTV-17农业农村,http://173.208.212.130:8181/1080p/cctv17.m3u8,0.13s
CCTV1,http://74.91.26.218:82/live/cctv1hd.m3u8,0.13s
CCTV2,http://74.91.26.218:82/live/cctv2hd.m3u8,0.13s
CCTV2,http://107.150.60.122/live/cctv2hd.m3u8,0.13s
CCTV3,http://74.91.26.218:82/live/cctv3hd.m3u8,0.13s
CCTV3,http://107.150.60.122/live/cctv3hd.m3u8,0.13s
CCTV4,http://107.150.60.122/live/cctv4hd.m3u8,0.13s
CCTV5,http://198.204.228.26/live/cctv5p.m3u8,0.13s
CCTV5,http://107.150.60.122/live/cctv5hd.m3u8,0.13s
CCTV6,http://74.91.26.218:82/live/cctv6hd.m3u8,0.13s
CCTV7,http://74.91.26.218:82/live/cctv7hd.m3u8,0.13s
CCTV7,http://107.150.60.122/live/cctv7hd.m3u8,0.13s
CCTV9,http://74.91.26.218:82/live/cctv9hd.m3u8,0.13s
CCTV9,http://198.204.228.26/live/cctv9hd.m3u8,0.13s
CCTV9,http://107.150.60.122/live/cctv9hd.m3u8,0.13s
CCTV10,http://74.91.26.218:82/live/cctv10hd.m3u8,0.13s
CCTV10,http://198.204.228.26/live/cctv10hd.m3u8,0.13s
CCTV10,http://107.150.60.122/live/cctv10hd.m3u8,0.13s
CCTV11,http://192.151.150.154/live/cctv11hd.m3u8,0.13s
CCTV12,http://74.91.26.218:82/live/cctv12hd.m3u8,0.13s
CCTV12,http://192.151.150.154/live/cctv12hd.m3u8,0.13s
CCTV13,http://74.91.26.218:82/live/cctv13hd.m3u8,0.13s
CCTV14,http://74.91.26.218:82/live/cctv14hd.m3u8,0.13s
CCTV14,http://198.204.228.26/live/cctv14hd.m3u8,0.13s
CCTV15,http://74.91.26.218:82/live/cctv15hd.m3u8,0.13s
CCTV16,http://198.204.228.26/live/cctv16hd.m3u8,0.13s
CCTV17,https://live.264788.xyz/channel/cctv17?streamid=348c8c0c04a6d2b900e5a3bcb4af8ce1&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk,0.13s
CCTV2财经,http://74.91.26.218:82/live/cctv2hd.m3u8,0.14s
CCTV8电视剧,http://74.91.26.218:82/live/cctv8hd.m3u8,0.14s
CCTV3,http://107.150.60.122/live/cctv3hd.m3u8,0.14s
CCTV15,http://107.150.60.122/live/cctv15hd.m3u8,0.14s
CCTV-央视文化精品,http://107.150.60.122/live/ysjp.m3u8,0.14s
CCTV-1综合,http://173.208.212.130:8181/1080p/cctv1.m3u8,0.14s
CCTV-2财经,http://173.208.212.130:8181/1080p/cctv2.m3u8,0.14s
CCTV-4中文国际,http://173.208.212.130:8181/1080p/cctv4.m3u8,0.14s
CCTV-6电影,http://173.208.212.130:8181/1080p/cctv6.m3u8,0.14s
CCTV5+,http://173.208.212.130:8181/1080p/cctv5p.m3u8,0.14s
CCTV-11戏曲,http://173.208.212.130:8181/1080p/cctv11.m3u8,0.14s
CCTV-13新闻,http://173.208.212.130:8181/1080p/cctv13.m3u8,0.14s
CCTV-14少儿,http://173.208.212.130:8181/1080p/cctv14.m3u8,0.14s
CCTV11,http://74.91.26.218:82/live/cctv11hd.m3u8,0.14s
CCTV17,https://live.264788.xyz/channel/cctv17?streamid=f9c36f1e95b5b35eac89cc89583e7c0a&livekey=01WgOR41rriMmMkzNsd0UoaxJRwetZdxIvtVk,0.14s
CCTV10科教,http://74.91.26.218:82/live/cctv10hd.m3u8,0.15s
CCTV11戏曲,http://74.91.26.218:82/live/cctv11hd.m3u8,0.15s
CCTV-5体育,http://173.208.212.130:8181/1080p/cctv5.m3u8,0.15s
CCTV-7国防军事,http://173.208.212.130:8181/1080p/cctv7.m3u8,0.15s
CCTV-9纪录,http://173.208.212.130:8181/1080p/cctv9.m3u8,0.15s
CCTV 4,http://31.43.191.125:8080/VIP019301734188047280/7bce5254f13d/34563,0.16s
CCTV-1综合,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv1hd,0.17s
CCTV1,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv1hd,0.17s
CCTV8,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv8hd,0.17s
CCTV5,https://0a73-927f-c5b9-8335.kylintv.tv/live/cctv5hd_iphone.m3u8,0.18s
CCTV-8HD,http://38.75.136.137:98/gslb/dsdqpub/cctv8hd.m3u8?auth=testpub,0.18s
CCTV-13HD,http://38.75.136.137:98/gslb/dsdqpub/cctv13hd.m3u8?auth=testpub,0.18s
CCTV-15HD,http://38.75.136.137:98/gslb/dsdqpub/cctv15hd.m3u8?auth=testpub,0.18s
CCTV-17HD,http://38.75.136.137:98/gslb/dsdqpub/cctv17hd.m3u8?auth=testpub,0.18s
CCTV-电视指南,http://38.75.136.137:98/gslb/dsdqpub/dszn.m3u8?auth=testpub,0.18s
CCTV-第一剧场,http://38.75.136.137:98/gslb/dsdqpub/dyjc.m3u8?auth=testpub,0.18s
CCTV-高尔夫网球,http://38.75.136.137:98/gslb/dsdqpub/gefwq.m3u8?auth=testpub,0.18s
CCTV-怀旧剧场,http://38.75.136.137:98/gslb/dsdqpub/hjjc.m3u8?auth=testpub,0.18s
CCTV-央视台球,http://38.75.136.137:98/gslb/dsdqpub/ystq.m3u8?auth=testpub,0.18s
CCTV2,http://38.75.136.137:98/gslb/dsdqbv/cctv2hd.m3u8?auth=test20251009,0.18s
CCTV5,http://38.75.136.137:98/gslb/dsdqpub/cctv5hd.m3u8?auth=testpub,0.18s
CCTV5,http://38.75.136.137:98/gslb/dsdqbv/cctv5hd.m3u8?auth=test20251009,0.18s
CCTV5+,http://38.75.136.137:98/gslb/dsdqbv/cctv5p.m3u8?auth=test20251009,0.18s
